Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,1,2
Proceso 2,2,3
Proceso 3,3,5
Proceso 4,4,6
Proceso 6,6,9
Proceso 7,7,10
Proceso 5,5,11
Proceso 8,8,12
Proceso 9,9,13
Proceso 10,10,14
Proceso 11,11,15
Proceso 13,13,17
Proceso 12,12,20
Proceso 16,16,21
Proceso 17,17,22
Proceso 14,14,23
Proceso 15,15,26
Proceso 19,19,27
Proceso 23,23,31
Proceso 24,24,32
Proceso 18,18,33
Proceso 26,26,36
Proceso 20,20,39
Proceso 28,28,40
Proceso 21,21,41
Proceso 29,29,42
Proceso 22,22,43
Proceso 31,31,46
Proceso 32,32,47
Proceso 25,25,50
Proceso 36,36,53
Proceso 37,37,54
Proceso 27,27,55
Proceso 39,39,57
Proceso 40,40,58
Proceso 42,42,60
Proceso 44,44,63
Proceso 30,30,64
Proceso 47,47,67
Proceso 33,33,68
Proceso 34,34,70
Proceso 49,49,71
Proceso 50,50,72
Proceso 35,35,74
Proceso 54,54,77
Proceso 38,38,79
Proceso 58,58,83
Proceso 41,41,84
Proceso 59,59,85
Proceso 60,60,86
Proceso 43,43,89
Proceso 62,62,90
Proceso 63,63,91
Proceso 64,64,92
Proceso 45,45,93
Proceso 65,65,94
Proceso 46,46,95
Proceso 48,48,99
Proceso 69,69,100
Proceso 70,70,101
Proceso 72,72,103
Proceso 51,51,104
Proceso 74,74,107
Proceso 52,52,108
Proceso 75,75,109
Proceso 53,53,110
Proceso 76,76,111
Proceso 77,77,112
Proceso 55,55,113
Proceso 78,78,114
Proceso 79,79,115
Proceso 56,56,118
Proceso 57,57,121
Proceso 82,82,122
Proceso 84,84,124
Proceso 86,86,126
Proceso 87,87,127
Proceso 61,61,128
Proceso 88,88,129
Proceso 90,90,131
Proceso 91,91,132
Proceso 66,66,134
Proceso 67,67,135
Proceso 68,68,136
Proceso 93,93,137
Proceso 95,95,140
Proceso 71,71,141
Proceso 97,97,143
Proceso 73,73,144
Proceso 98,98,145
Proceso 99,99,146
Proceso 102,102,150
Proceso 104,104,152
Proceso 80,80,154
Proceso 106,106,155
Proceso 81,81,156
Proceso 83,83,160
Proceso 109,109,161
Proceso 85,85,162
Proceso 111,111,164
Proceso 112,112,165
Proceso 113,113,166
Proceso 114,114,167
Proceso 89,89,170
Proceso 117,117,172
Proceso 118,118,173
Proceso 92,92,174
Proceso 119,119,175
Proceso 120,120,176
Proceso 122,122,179
Proceso 123,123,180
Proceso 125,125,183
Proceso 94,94,184
Proceso 126,126,185
Proceso 96,96,186
Proceso 127,127,187
Proceso 129,129,189
Proceso 100,100,190
Proceso 101,101,191
Proceso 103,103,192
Proceso 130,130,193
Proceso 131,131,194
Proceso 105,105,195
Proceso 133,133,197
Proceso 134,134,198
Proceso 107,107,200
Proceso 108,108,201
Proceso 137,137,204
Proceso 110,110,205
Proceso 138,138,206
Proceso 140,140,209
Proceso 115,115,210
Proceso 116,116,212
Proceso 143,143,214
Proceso 144,144,215
Proceso 121,121,218
Proceso 147,147,219
Proceso 124,124,220
Proceso 149,149,223
Proceso 128,128,224
Proceso 132,132,225
Proceso 135,135,226
Proceso 136,136,227
Proceso 139,139,228
Proceso 141,141,229
Proceso 142,142,230
Proceso 145,145,231
Proceso 146,146,232
Proceso 148,148,233
